rhoMax,omega,h,logH,relError,logRelError,timeUsed,logTimeUsed,N,logN,counter,logCounter,lambda1,lambda2,lambda3,convergenceSuccess
5.000000000000000, 1.000000000000000, 0.3846153846153846, -1.378511623253730, 0.05434443516731817, -4.201723877936097, 0.0001340000000000000, -12.86547937886640,              13, 3.700439718141092,             229, 7.839203788096944, 2.952964780445677, 6.760313654773636, 10.40221121315950, False
5.000000000000000, 1.000000000000000, 0.1923076923076923, -2.378511623253730, 0.01298509157055750, -6.267000001871351, 0.001345000000000000, -9.538178111880187,              26, 4.700439718141092,             958, 9.903881845736180, 2.988394401321842, 6.941718713649425, 10.85716399272387, False
5.000000000000000, 1.000000000000000, 0.09615384615384616, -3.378511623253730, 0.003206310761818058, -8.284870023609306, 0.01558100000000000, -6.004068360178526,              52, 5.700439718141092,            3976, 11.95710204156229, 2.997107751155446, 6.985524361800167, 10.96473058162000, False
5.000000000000000, 1.000000000000000, 0.04807692307692308, -4.378511623253730, 0.0007892909143943815, -10.30715523723392, 0.1345960000000000, -2.893292559128674,             104, 6.700439718141092,               0,            -INF, 2.999277507262921, 6.996388183885861, 10.99131779994166, True
