           2202            128      2.4000000     -1.4332031      7.8237085     0.74363281      4.5371429     0.74363281      1.3582827      1.8904762
           6763            256      2.4000000     -1.3380469      10.325037     0.61775391      13.570287     0.61775391      1.7925411      5.6542861
          11638            512      2.4000000     -1.3308984      8.2137396     0.64426758      9.7460354     0.64676758      1.4259965      4.0608481
          26014           1024      2.4000000     -1.2710156      10.171072     0.42100586      21.587270     0.50188477      1.7658111      8.9946960
          60273           2048      2.4000000     -1.2311719      9.7944507     0.32533447      24.740618     0.43433350      1.7004255      10.308591
         101296           4096      2.4000000     -1.2596924      8.2767786     0.17022461      19.729466     0.50453857      1.4369407      8.2206107
         213484           8192      2.4000000     -1.2497449      8.8718831     0.10721558      20.450300     0.48412598      1.5402575      8.5209583
         439536          16384      2.4000000     -1.2429504      8.4747602     0.16291931      21.530640     0.46800537      1.4713125      8.9711000
         893995          32768      2.4000000     -1.2362830      8.1752791   -0.025894012      20.951080     0.44881882      1.4193193      8.7296168
        1796610          65536      2.4000000     -1.2338960      7.9230538   -0.036018600      21.118882     0.44438484      1.3755302      8.7995342
        3572459         131072      2.4000000     -1.2332372      8.1206357    0.018780365      21.282500     0.44721863      1.4098326      8.8677084
        7072188         262144      2.4000000     -1.2369834      8.2101669  -0.0082217216      21.451855     0.45330206      1.4253762      8.9382730
       14047270         524288      2.4000000     -1.2359291      8.1138072    0.026036406      21.502490     0.45027917      1.4086471      8.9593707
       28232820        1048576      2.4000000     -1.2362461      8.0751851    0.020867777      21.176392     0.45232759      1.4019419      8.8234967
       56285337        2097152      2.4000000     -1.2365573      8.0822310   0.0086992502      21.121191     0.45316962      1.4031651      8.8004964
