           7557            128      3.8000000    -0.58796875      2.6445996  -0.0092187500      1.5050000    0.088125000     0.18314402     0.39605263
          14967            256      3.8000000    -0.59250000      2.8590625   -0.031386719      1.8455626    0.093652344     0.19799602     0.48567437
          30260            512      3.8000000    -0.59712891      2.8994371   0.0016992187      1.9958392    0.086914062     0.20079204     0.52522085
          60037           1024      3.8000000    -0.59199219      2.7077875   -0.011435547      1.7942904    0.087373047     0.18751991     0.47218169
         120232           2048      3.8000000    -0.59533691      2.9127671    0.010122070      1.8622862    0.088964844     0.20171517     0.49007532
         241468           4096      3.8000000    -0.59346191      2.7357725  -0.0064465332      1.7681407    0.086002197     0.18945793     0.46530019
         480567           8192      3.8000000    -0.59444702      2.8865281   0.0014862061      1.7675035    0.087938843     0.19989807     0.46513251
         961705          16384      3.8000000    -0.59450623      2.8388429   0.0019473267      1.8514566    0.089052429     0.19659577     0.48722543
        1925179          32768      3.8000000    -0.59404449      2.8684239  -0.0017962646      1.7501914    0.087983704     0.19864431     0.46057670
        3845349          65536      3.8000000    -0.59450439      2.8552667 -0.00084236145      1.7463391    0.087888565     0.19773315     0.45956293
        7691765         131072      3.8000000    -0.59408539      2.8272551  -0.0010611725      1.7443747    0.087802658     0.19579329     0.45904597
       15392804         262144      3.8000000    -0.59370247      2.8136399 -8.4037781E-05      1.7397853    0.087566414     0.19485041     0.45783824
       30775910         524288      3.8000000    -0.59400019      2.8369869  0.00047751427      1.7469633    0.087938242     0.19646724     0.45972719
       61541297        1048576      3.8000000    -0.59391676      2.8420411 -9.3493462E-05      1.7438081    0.087910705     0.19681725     0.45889686
      123095722        2097152      3.8000000    -0.59388091      2.8418080  3.5371780E-05      1.7432518    0.087906590     0.19680111     0.45875048
